행정동코드,측정일,측정시간,측정카테고리,측정값
4831000000,2024-09-24,3,pm10Value,10
4831000000,2024-09-24,4,pm10Value,14.3333
4831000000,2024-09-24,5,pm10Value,9
4831000000,2024-09-24,6,pm10Value,10
4831000000,2024-09-24,7,pm10Value,10
4888000000,2024-08-31,1,pm10Value,16
4888000000,2024-08-31,2,pm10Value,16
4888000000,2024-08-31,3,pm10Value,21
4888000000,2024-08-31,4,pm10Value,19
4888000000,2024-08-31,5,pm10Value,15
4888000000,2024-08-31,6,pm10Value,16
4888000000,2024-08-31,7,pm10Value,20
4888000000,2024-08-31,8,pm10Value,15
4888000000,2024-08-31,9,pm10Value,22
4888000000,2024-08-31,10,pm10Value,19
4888000000,2024-08-31,11,pm10Value,14
4888000000,2024-08-31,12,pm10Value,16
4888000000,2024-08-31,13,pm10Value,14
4888000000,2024-08-31,14,pm10Value,15
4888000000,2024-08-31,15,pm10Value,20
4888000000,2024-08-31,16,pm10Value,25
4888000000,2024-08-31,17,pm10Value,18
4888000000,2024-08-31,18,pm10Value,26
4888000000,2024-08-31,20,pm10Value,28
4888000000,2024-08-31,21,pm10Value,24
4888000000,2024-08-31,23,pm10Value,19
4888000000,2024-09-01,1,pm10Value,18
4888000000,2024-09-01,2,pm10Value,45
4888000000,2024-09-01,3,pm10Value,21
4888000000,2024-09-01,4,pm10Value,21
4888000000,2024-09-01,5,pm10Value,23
4888000000,2024-09-01,6,pm10Value,17
4888000000,2024-09-01,7,pm10Value,25
4888000000,2024-09-01,8,pm10Value,33
4888000000,2024-09-01,9,pm10Value,24
4888000000,2024-09-01,10,pm10Value,26
4888000000,2024-09-01,11,pm10Value,27
