"행정구역별","산업별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"의창동","전문,과학 및 기술 서비스업","종사자수[명]","명","339","568","372","678","661",
"의창동","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","61","139","125","118","122",
"의창동","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","326","300","298","291","342",
"의창동","공공행정,국방 및 사회보장행정","사업체수[개]","개","6","6","6","6","5",
"의창동","공공행정,국방 및 사회보장행정","종사자수[명]","명","89","130","130","104","173",
"의창동","교육서비스업","사업체수[개]","개","117","194","230","250","265",
"의창동","교육서비스업","종사자수[명]","명","602","826","916","1090","1141",
"의창동","보건업 및 사회복지 서비스업","사업체수[개]","개","98","110","126","133","143",
"의창동","보건업 및 사회복지 서비스업","종사자수[명]","명","1176","1456","1641","2206","2454",
"의창동","예술,스포츠 및 여가관련 서비스업","사업체수[개]","개","110","112","112","123","117",
"의창동","예술,스포츠 및 여가관련 서비스업","종사자수[명]","명","192","161","185","210","195",
"의창동","협회 및 단체,수리 및 기타 개인서비스업","사업체수[개]","개","462","549","544","577","597",
"의창동","협회 및 단체,수리 및 기타 개인서비스업","종사자수[명]","명","712","744","790","824","821",
"팔룡동","합계","사업체수[개]","개","6799","9021","7750","7854","7699",
"팔룡동","합계","여성대표자사업체수[개]","개","2005","2710","2238","2287","2236",
"팔룡동","합계","종사자수[명]","명","41313","42242","33612","34307","33963",
"팔룡동","합계","남자종사자수[명]","명","26882","27644","22292","22485","22210",
"팔룡동","합계","여자종사자수[명]","명","14431","14598","11320","11822","11753",
"팔룡동","농업,임업 및 어업","사업체수[개]","개","0","3","1","4","3",
"팔룡동","농업,임업 및 어업","종사자수[명]","명","0","3","3","8","3",
"팔룡동","광업","사업체수[개]","개","2","1","1","-","-",
"팔룡동","광업","종사자수[명]","명","5","2","2","-","-",
"팔룡동","제조업","사업체수[개]","개","1590","2129","1867","1895","1766",
"팔룡동","제조업","종사자수[명]","명","16127","16567","12971","12868","12816",
"팔룡동","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","5","22","13","11","11",
"팔룡동","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","13","32","30","22","18",
"팔룡동","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","9","7","6","5","4",
"팔룡동","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","89","85","39","26","24",
"팔룡동","건설업","사업체수[개]","개","266","584","563","581","575",
"팔룡동","건설업","종사자수[명]","명","2710","2708","2342","2281","2351",
"팔룡동"," 도매 및 소매업","사업체수[개]","개","1960","2573","2228","2212","2187",
"팔룡동"," 도매 및 소매업","종사자수[명]","명","6662","6772","5823","5748","5586",
"팔룡동","운수 및 창고업","사업체수[개]","개","586","783","742","723","747",
"팔룡동","운수 및 창고업","종사자수[명]","명","1741","2071","2090","2120","1967",
"팔룡동","숙박 및 음식점업","사업체수[개]","개","762","829","700","690","644",
"팔룡동","숙박 및 음식점업","종사자수[명]","명","2512","2074","1460","1531","1476",
"팔룡동","정보통신업","사업체수[개]","개","93","136","115","131","142",
"팔룡동","정보통신업","종사자수[명]","명","665","729","620","660","710",
"팔룡동","금융 및 보험업","사업체수[개]","개","56","79","61","74","83",
"팔룡동","금융 및 보험업","종사자수[명]","명","780","634","450","595","771",
"팔룡동","부동산업","사업체수[개]","개","158","283","187","204","217",
"팔룡동","부동산업","종사자수[명]","명","565","564","458","504","566",
"팔룡동","전문,과학 및 기술 서비스업","사업체수[개]","개","239","350","279","310","295",
"팔룡동","전문,과학 및 기술 서비스업","종사자수[명]","명","1727","2327","1690","1856","1941",
"팔룡동","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","124","213","149","140","150",
"팔룡동","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","2387","2637","2110","2499","2173",
"팔룡동","공공행정,국방 및 사회보장행정","사업체수[개]","개","11","12","9","9","8",
"팔룡동","공공행정,국방 및 사회보장행정","종사자수[명]","명","264","294","211","211","223",
"팔룡동","교육서비스업","사업체수[개]","개","221","236","181","198","192",
