lat,lon,station_id,station_name,nodeno,n_routes,n_routes_dir,avg_nodeord,route_nums_sample,lat_ok,lon_ok,name_ok
35.3364351,128.6002381,CWB379000154,영신아파트,119342,12,12,60.08,"10, 11, 12",True,True,True
35.33642627,128.6000774,CWB379000155,영신아파트,119341,12,12,91.0,"10, 11, 12",True,True,True
35.33319449,128.6669378,CWB379000156,금동,104627,8,8,110.38,"30, 31, 32",True,True,True
35.33312544,128.6670842,CWB379000157,금동,104630,8,8,49.38,"30, 31, 32",True,True,True
35.33273119,128.6787689,CWB379000158,용산입구,100204,1,1,69.0,42,True,True,True
35.33278581,128.6788801,CWB379000159,용산입구,100203,1,1,58.0,42,True,True,True
35.33084242,128.6710773,CWB379000160,용산,104625,8,8,111.38,"30, 31, 32",True,True,True
35.33111514,128.6710663,CWB379000161,용산,104628,8,8,48.38,"30, 31, 32",True,True,True
35.33090322,128.60012157,CWB379000163,신동,119339,4,4,69.0,"12, 17, 22",True,True,True
35.23353866,128.5785156,CWB379000752,마산역.동마산병원,400112,26,26,56.58,"24, 27, 46",True,True,True
35.23362342,128.561141,CWB379000754,회성동행정복지센터/합포여중,407209,22,22,44.82,"50, 51, 53",True,True,True
35.23321143,128.5815852,CWB379000757,양덕동,411202,27,27,55.0,"20, 21, 23",True,True,True
35.23341969,128.5612438,CWB379000758,회성동행정복지센터/합포여중,407210,22,22,74.23,"50, 51, 53",True,True,True
35.231488,128.6896867,CWB379000759,조달청,108904,8,8,33.12,"101, 150, 214",True,True,True
35.23145182,128.6947111,CWB379000761,토월체육공원,119130,4,4,110.25,"110, 111, 122",True,True,True
35.23198006,128.6364375,CWB379000762,경남문화재연구원,105901,1,1,80.0,214,True,True,True
35.23140566,128.6951296,CWB379000764,토월체육공원,119131,4,4,22.5,"110, 111, 122",True,True,True
35.23180144,128.6365369,CWB379000765,경남문화재연구원,105902,1,1,49.0,214,True,True,True
35.23104563,128.6890436,CWB379000766,한국전력공사,108903,6,6,49.5,"101, 150, 215",True,True,True
35.23402179,128.65357666,CWB379000767,대원초등학교,104111,4,4,50.5,"101, 106, 213",True,True,True
35.23422372,128.6536384,CWB379000768,대원초등학교,104112,4,4,61.0,"101, 106, 213",True,True,True
35.2307158,128.6898487,CWB379000769,한국전력공사,110101,2,2,61.5,"214, 223",True,True,True
35.23238332,128.5654754,CWB379000770,보문주유소,408601,12,12,46.92,"50, 53, 55",True,True,True
35.23311519,128.5045121,CWB379000771,롯데마트,401005,9,9,68.78,"50, 51, 80",True,True,True
35.23226378,128.5644388,CWB379000772,서마산IC(사거리),407211,8,8,77.62,"51, 54, 114",True,True,True
35.23314724,128.5065296,CWB379000773,원계,417202,9,9,71.44,"110, 116, 240",True,True,True
35.23299976,128.506136,CWB379000774,원계,417201,9,9,56.44,"110, 116, 240",True,True,True
35.23201709,128.5658387,CWB379000775,보문주유소,408602,12,12,75.75,"50, 53, 55",True,True,True
35.23289998,128.5048467,CWB379000776,롯데마트,401004,16,16,53.69,"50, 51, 80",True,True,True
35.23174443,128.5862812,CWB379000778,양덕1동행정복지센터,420602,10,10,40.3,"22, 49, 70",True,True,True
35.23179682,128.5859714,CWB379000779,양덕1동행정복지센터,420601,14,14,75.93,"22, 49, 70",True,True,True
35.230936,128.6384513,CWB379000780,창원농산물도매시장,105903,1,1,79.0,214,True,True,True
35.23074469,128.6479801,CWB379000781,창원자동차검사소,118817,13,13,24.92,"10, 11, 12",True,True,True
35.23079473,128.6471482,CWB379000782,창원자동차검사소,218802,13,13,118.31,"10, 11, 12",True,True,True
35.23166443,128.5653502,CWB379000783,회성동우체국,407213,8,8,40.0,"51, 54, 114",True,True,True
35.23151829,128.5680692,CWB379000784,북성초등학교,408603,13,13,45.31,"50, 53, 55",True,True,True
35.23141519,128.5838593,CWB379000785,한일타운,411203,28,28,78.29,"20, 21, 23",True,True,True
35.23121143,128.5836482,CWB379000786,한일타운,411204,27,27,56.0,"20, 21, 23",True,True,True
35.23129866,128.5680968,CWB379000788,북성초등학교,408604,13,13,76.15,"50, 53, 55",True,True,True
35.23213943,128.503596,CWB379000789,삼계,409907,3,4,49.5,"50, 240, 254",True,True,True
35.23196957,128.5042401,CWB379000791,삼계,409908,2,3,49.0,"50, 240",True,True,True
35.22958194,128.6820879,CWB379000792,성산아트홀,113302,7,7,37.29,"100, 152, 156",True,True,True
35.23191639,128.50047185,CWB379000793,삼계우체국,409905,5,6,67.0,"50, 111, 114",True,True,True
35.23079222,128.6383669,CWB379000796,창원농산물도매시장,105904,1,1,50.0,214,True,True,True
35.22980643,128.6538312,CWB379000797,늘푸른전당,104801,3,3,78.0,"101, 106, 213",True,True,True
35.2297923,128.6535354,CWB379000798,늘푸른전당,104802,3,3,56.33,"101, 106, 213",True,True,True
35.23170937,128.5000775,CWB379000799,삼계우체국,409906,5,6,47.0,"50, 111, 114",True,True,True
35.23189559,128.4944479,CWB379000800,안계초등학교,409901,5,6,69.0,"50, 111, 114",True,True,True
35.23173377,128.4975072,CWB379000801,삼계숲속마을아파트,409903,5,6,68.0,"50, 111, 114",True,True,True
35.22925557,128.6815668,CWB379000802,성산아트홀,113301,7,7,52.43,"100, 152, 156",True,True,True
35.23081643,128.5660222,CWB379000803,회성동우체국,407212,8,8,78.62,"51, 54, 114",True,True,True
35.23165962,128.49445607,CWB379000804,안계초등학교,409902,5,6,45.0,"50, 111, 114",True,True,True
35.23152062,128.4974468,CWB379000805,삼계숲속마을아파트,409904,5,6,46.0,"50, 111, 114",True,True,True
35.22891157,128.6963808,CWB379000806,창원시립테니스장입구,219101,6,6,18.0,"110, 111, 122",True,True,True
35.23061611,128.5762928,CWB379000807,마산우체국,400110,26,26,57.58,"24, 27, 46",True,True,True
35.23061781,128.5767179,CWB379000809,경남은행본점,400109,28,28,61.43,"24, 27, 46",True,True,True
35.23095945,128.501801,CWB379000810,삼계대동아파트,408401,4,4,54.5,"111, 114, 251",True,True,True
35.22854243,128.6962522,CWB379000811,창원시립테니스장입구,119132,6,6,103.67,"110, 111, 122",True,True,True
35.23077143,128.5019462,CWB379000813,삼계대동아파트,408402,4,4,80.75,"111, 114, 251",True,True,True
