station_id,station_name,lat,lon,nearest_hub_id,nearest_hub_name,dist_km
CWB379003326,조동,35.29606579,128.5889645,CWB379000951,신세계백화점,8.567941150807968
CWB379003327,조동,35.29619655,128.5888149,CWB379000951,신세계백화점,8.582185027854647
CWB379003328,중방마을회관,35.29645933,128.59324327,CWB379000951,신세계백화점,8.628234834521573
CWB379003329,중방마을회관,35.29657037,128.5932506,CWB379000951,신세계백화점,8.640574722029845
CWB379003330,감계휴먼빌,35.30234189,128.592914,CWB379000951,신세계백화점,9.27798742306886
CWB379003331,덕산아내,35.30233952,128.5905689,CWB379000951,신세계백화점,9.267916517758369
CWB379003332,힐스테이트3차.천수림아파트,35.30220878,128.5884201,CWB379000951,신세계백화점,9.24873186885985
CWB379003333,감계아내2차아파트,35.30222893,128.5965079,CWB379000951,신세계백화점,9.290025920172473
CWB379003334,무곡리,35.32987046,128.5943215,CWB379000951,신세계백화점,12.335373535882967
CWB379003335,무곡리,35.32981138,128.5943566,CWB379000951,신세계백화점,12.328998204795898
CWB379003337,현동중흥1차아파트,35.15101536,128.55393316,CWB379001418,"경남대,서중학교",3.1680709532718083
CWB379003338,현동LH아파트,35.15197281,128.5535186,CWB379001418,"경남대,서중학교",3.067747350497828
CWB379003339,덕동공영차고지,35.13629344,128.56356576,CWB379001418,"경남대,서중학교",4.801840965832993
CWB379003340,덕동공영차고지,35.13603655,128.5636553,CWB379001418,"경남대,서중학교",4.831029433990572
CWB379003341,성지아울렛,35.18140212,128.5642528,CWB379001394,문화동,0.48110380553822896
CWB379003342,성지아울렛,35.18116419,128.5641757,CWB379001394,문화동,0.49373391758456825
CWB379003343,호계농협,35.26098783,128.5224127,CWB379000951,신세계백화점,7.515595491008872
CWB379003344,STX칸2차아파트,35.31635846,128.58043,CWB379000951,신세계백화점,10.834974160355372
CWB379003345,STX칸2차아파트,35.31617493,128.5805745,CWB379000951,신세계백화점,10.813912905179741
CWB379003349,STX칸1차아파트후문,35.32264364,128.583139,CWB379000951,신세계백화점,11.5211834244554
CWB379003350,STX칸1차아파트후문,35.32308446,128.58340703,CWB379000951,신세계백화점,11.569353434603558
CWB379003351,거풍힐링빌,35.35620503,128.6131493,CWB379000951,신세계백화점,15.423957573370048
CWB379003352,거풍힐링빌,35.35613607,128.6132265,CWB379000951,신세계백화점,15.417479394198521
CWB379003353,진북면행정복지센터,35.11512941,128.467264,CWB379001418,"경남대,서중학교",10.933642567834449
CWB379003354,진북면행정복지센터,35.11501978,128.4672662,CWB379001418,"경남대,서중학교",10.941427319467712
CWB379003355,동전(14),35.31841754,128.60397964,CWB379000951,신세계백화점,11.153486532383871
CWB379003357,창원중앙역A,35.24202512,128.70084088,CWB379000951,신세계백화점,10.674119057452181
CWB379003358,용강마을입구,35.26917085,128.6386966,CWB379000951,신세계백화점,7.297404583064792
