gu_nm,year,month,yyyymm,youth20_39_persons,youth_pop_year_avg,youth_hh,youth_hh_month,demand_rate_12m,demand_rate_18m,demand_inc_12m,demand_inc_18m,persons_per_youth_household,demand_inc_12m_hh,demand_inc_18m_hh
성산구,2023,11,202311,66464,67337.91667,22371,22080.66744,0.0236111145852402,0.0356249131743975,1569.2891197934068,2367.7742292231574,3.010053938840537,521.3491690444231,786.6218603827466
성산구,2023,12,202312,66248,67337.91667,22371,22008.90793,0.0240899595279646,0.0363516956456135,1595.9116388086031,2408.2271331306083,3.010053938646287,530.1937012884006,800.0611225636911
성산구,2024,1,202401,66022,65358.0,22401,22628.58138,0.0242598132952334,0.0366095375521986,1601.6813933779003,2417.0348882712588,2.917637605791442,548.9651594147953,828.421899784093
성산구,2024,2,202402,65502,65358.0,22401,22450.355,0.0230867497181881,0.0348292363399533,1512.2282800407595,2281.3846387396266,2.9176376052850834,518.3057269694737,781.9287202108542
성산구,2024,3,202403,65325,65358.0,22401,22389.68948,0.0239363133179144,0.0361184756004933,1563.639667492762,2359.439418602225,2.917637605396571,535.9266224840933,808.6814531860016
성산구,2024,4,202404,65199,65358.0,22401,22346.50386,0.0240579091043275,0.0363030447668166,1568.5516156930546,2366.92221575168,2.9176376049009396,537.6101586633856,811.2461300114215
성산구,2024,5,202405,65208,65358.0,22401,22349.58854,0.0249780537110142,0.0377000792721538,1628.7689263878171,2458.346769178605,2.917637605868873,558.2492229711886,842.5812596580201
성산구,2024,6,202406,65512,65358.0,22401,22453.78243,0.0271454313970433,0.0409932373954406,1778.351501683107,2685.54896825011,2.917637605344874,609.5176105577034,920.453233578565
성산구,2024,7,202407,65631,65358.0,22401,22494.56885,-0.0322834508959049,-0.0480322146098951,-2118.7951657491344,-3152.4022770620286,2.9176376056658673,-726.202308893527,-1080.4639585602624
성산구,2024,8,202408,65581,65358.0,22401,22477.4317,-0.0312881504388052,-0.046563182862265,-2051.908193927289,-3053.660095290202,2.9176376053675206,-703.2772645075707,-1046.6207625211725
성산구,2024,9,202409,65453,65358.0,22401,22433.56059,-0.0314128254835885,-0.0467472406186895,-2056.063666377324,-3059.7471402150845,2.9176376053820174,-704.7015237891807,-1048.7070548346803
성산구,2024,10,202410,65251,65358.0,22401,22364.32649,-0.0312252512200114,-0.0464703202564255,-2037.4788673569644,-3032.2348670520205,2.9176376059961555,-698.3317130166059,-1039.2774143095603
