순번,정류소 아이디,정류소명,방면,X좌표,Y좌표
389,640449,김해여고,,128.87941489,35.23963317
390,640459,김해중부경찰서,,128.87961511,35.22629477
391,640460,김해중부경찰서,,128.8785793,35.22578817
392,640463,김해터미널(남문),,128.87345946,35.22713596
393,640464,김해터미널(정문),,128.87380193,35.22793947
394,119329,까치골,대천 방면,128.6051317,35.3119017
395,119330,까치골,동전입구 방면,128.6056242,35.31211771
396,119906,까치아파트,대동그린코아 방면,128.6656941,35.24435015
397,119909,까치아파트,럭키상가 방면,128.6654794,35.24423123
398,119113,까치아파트입구,지귀상가 방면,128.6645089,35.24606506
399,119114,까치아파트입구,대동그린코아 방면,128.6642455,35.24571563
400,509603,나가야입구,진해수협웨딩홀 방면,128.6695258,35.14399506
401,509605,나가야입구,해군아파트 방면,128.6696377,35.14395074
402,310506,난포 소골,,128.59531282,35.08309124
403,310505,난포 소골,,128.59548943,35.08315201
404,315403,난포리,안골 방면,128.6027838,35.08155178
405,315404,난포리,궁개 방면,128.6028852,35.08139368
406,300611,날개,대덕농원 방면,128.583707,35.1478162
407,300612,날개,가포송신소 방면,128.5838003,35.14771512
408,630388,남명더라우,,128.81864566,35.20382681
409,630389,남명더라우,,128.81767257,35.20302584
410,630009,남모산,송등 방면,128.7116116,35.35455276
411,630010,남모산,북모산마을 방면,128.7117577,35.35453594
412,103712,남모산종점,북모산마을 방면,128.7117882,35.35845392
413,103713,남모산종점,신성주유소 방면,128.7116763,35.35871932
414,513902,남문동,,128.75077895,35.10741259
415,513901,남문동,,128.7509812,35.10806143
416,513906,남문동,,128.7496186,35.10870971
417,518163,남문입구,가주동시내버스회차지 방면,128.83516939,35.11538573
418,514015,남문지구(임시),웅천고등학교 방면,128.7503564,35.11385483
419,106713,남백,월산 방면,128.6346725,35.31798062
420,106714,남백,남백마을종점 방면,128.63471303,35.31790221
421,106707,남백마을종점,,128.63688916,35.31853516
422,106708,남백마을종점,남백 방면,128.63661103,35.31837445
423,630062,남부터미널,,128.5602734,35.17965249
424,630076,남부터미널,,128.5605351,35.17900816
425,630191,남산고등학교,대방동종점 방면,128.7011222,35.20267443
426,630192,남산고등학교,남산중학교 방면,128.7011792,35.20301243
427,218819,남산공원환승센터,,128.69791119,35.20225501
428,218817,남산동,,128.6957247,35.20348216
429,630013,남산마을,용암마을회관 방면,128.66080298,35.27784594
430,115348,남산마을,,128.66089055,35.27782896
431,115347,남산마을입구,,128.66091474,35.2741697
432,115349,남산마을입구,,128.66085541,35.27422459
433,218824,남산버스정류소,,128.6971192,35.20216343
434,218826,남산아파트,,128.6995216,35.20083124
435,200302,남산중학교,여성회관창원관 방면,128.6976482,35.20359002
