정류소ID,서비스ID,정류소명,방면,유형,설치유형,관할관청,X좌표,Y좌표,방위각,동코드,수정일,생성일
379000841,219102,검찰청,창원축구센터.법원 방면,0,,379,128.6979892,35.2260625,0,사파동,2023.5.26 17:48,2023.5.26 17:48
379000844,219103,검찰청,창원시립테니스장입구 방면,0,,379,128.698655,35.22574398,0,사파동,2023.5.26 17:48,2023.5.26 17:48
379005952,301122,경남대,,0,,,128.5578952,35.18126209,,,2023.12.20 16:52,2023.12.20 16:49
379005953,301121,경남대,,0,,,128.5561213,35.18235513,,,,2023.12.20 16:52
379001418,300635,경남대남부터미널종점,해운초등학교 방면,0,,379,128.5582462,35.17934343,0,해운동,2023.6.20 15:25,2023.5.26 17:48
379001419,300636,경남대남부터미널종점,문화동 방면,0,,379,128.5584661,35.17916686,0,해운동,2023.6.20 15:24,2023.5.26 17:48
379000545,107506,경남대표도서관,사격장입구 방면,0,,379,128.6804102,35.24607943,0,사림동,2023.5.26 17:48,2023.5.26 17:48
379000537,107505,경남대표도서관입구,장애인복지회관 방면,0,,379,128.6799422,35.24646417,0,사림동,2023.5.26 17:48,2023.5.26 17:48
379001397,300104,경남대학교,문화동 방면,0,,379,128.5593582,35.18242389,0,월남동4가,2023.5.26 17:48,2023.5.26 17:48
379001401,300101,경남대학교,월영동 방면,0,,379,128.5578252,35.18046539,0,해운동,2023.5.26 17:48,2023.5.26 17:48
379001402,300102,경남대학교,문화동 방면,0,,379,128.5586889,35.18085758,0,월남동5가,2023.5.26 17:48,2023.5.26 17:48
379001245,300124,경남데파트,KT마산점 방면,0,,379,128.5675512,35.20141248,0,중앙동3가,2023.5.26 17:48,2023.5.26 17:48
379001246,300117,경남데파트,마산합포구청.의료원 방면,0,,379,128.5673133,35.20119382,0,중앙동3가,2023.5.26 17:48,2023.5.26 17:48
379001254,300122,경남데파트,KT마산점 방면,0,,379,128.5675358,35.20101762,0,중앙동3가,2023.5.26 17:48,2023.5.26 17:48
379002914,108908,경남도의회,,0,,379,128.6938382,35.23638243,0,사림동,2023.5.26 17:48,2023.5.26 17:48
379002915,108907,경남도의회,,0,,379,128.6936532,35.23648343,0,사림동,2023.5.26 17:48,2023.5.26 17:48
379003486,108915,경남도의회,하나님의 교회 방면,0,,379,128.6934212,35.23509073,0,사림동,2023.5.26 17:48,2023.5.26 17:48
379003487,108916,경남도의회,경남도청 방면,0,,379,128.6938295,35.23533627,0,용동,2023.5.26 17:48,2023.5.26 17:48
379000701,119129,경남도청,도청사거리 방면,0,,379,128.6916432,35.23569746,0,사림동,2023.5.26 17:48,2023.5.26 17:48
379000705,119128,경남도청/통계청,토월공원 방면,0,,379,128.691677,35.2353186,0,신월동,2023.5.26 17:48,2023.5.26 17:48
379000762,105901,경남문화재연구원,유남주유소 방면,0,,379,128.6364375,35.23198006,0,팔용동,2023.5.26 17:48,2023.5.26 17:48
379000765,105902,경남문화재연구원,창원농산물도매시장 방면,0,,379,128.6365369,35.23180144,0,팔용동,2023.5.26 17:48,2023.5.26 17:48
379005922,306630,경남선교120주년기념관,,0,,,128.5295575,35.1393547,,,,2023.9.26 14:17
379002220,211603,경남스틸,,0,,379,128.6554359,35.206764,0,웅남동,2023.5.26 17:48,2023.5.26 17:48
379002221,211601,경남스틸,,0,,379,128.6549012,35.20709443,0,웅남동,2023.5.26 17:48,2023.5.26 17:48
379002222,211602,경남스틸,,0,,379,128.6551298,35.20682507,0,웅남동,2023.5.26 17:48,2023.5.26 17:48
379002416,401902,경남아파트,지혜의바다 방면,0,,379,128.5967508,35.25683837,0,구암동,2024.9.6 11:19,2023.5.26 17:48
379005370,401906,경남아파트,,0,,379,128.5968139,35.25689352,,,2023.5.26 17:48,2023.5.26 17:48
379000809,400109,경남은행본점,,0,,379,128.5767179,35.23061781,0,석전동,2023.5.26 17:48,2023.5.26 17:48
379001018,406101,경남은행연수원,마산성로원 방면,0,,379,128.5606437,35.21649553,0,회원동,2023.5.26 17:48,2023.5.26 17:48
