lawd_cd,deal_ym,housing_type,exclusive_m2,deposit,rent,buildYear,contractDay,dong,roadAddr,rent_per_m2,deposit_per_m2
48123,202507,APT,,,180.0,2017.0,,용호동,,,
48123,202507,APT,,,42.0,1994.0,,상남동,,,
48123,202507,APT,,,72.0,2017.0,,용호동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,2017.0,,용호동,,,
48123,202507,APT,,,150.0,2018.0,,대원동,,,
48123,202507,APT,,,45.0,1988.0,,사파동,,,
48123,202507,APT,,,55.0,1996.0,,대방동,,,
48123,202507,APT,,,60.0,2006.0,,반림동,,,
48123,202507,APT,,,0.0,2007.0,,반림동,,,
48123,202507,APT,,,0.0,1988.0,,사파동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1990.0,,반지동,,,
48123,202507,APT,,,0.0,2024.0,,대원동,,,
48123,202507,APT,,,55.0,2003.0,,성주동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1988.0,,사파동,,,
